stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type
000001_001,千代田区役所,,35.694049,139.753241,000001_001,0
000001_002,かがやきプラザ,,35.694076,139.752067,000001_002,0
000001_003,九段上,,35.694005,139.745747,000001_003,0
000001_004,九段さくら館,,35.692685,139.743839,000001_004,0
000001_005,五味坂交番,,35.688581,139.742435,000001_005,0
000001_006,一番町交差点,,35.687652,139.742092,000001_006,0
000001_007,ジロール麹町入口,,35.686142,139.741782,000001_007,0
000001_008,麹町出張所,,35.685776,139.739988,000001_008,0
000001_009,平河天満宮前,,35.681963,139.741906,000001_009,0
000001_010,麹町二丁目,,35.684066,139.740513,000001_010,0
000001_011,麹町四丁目,,35.683878,139.73881,000001_011,0
000001_012,麹町五丁目,,35.684509,139.733553,000001_012,0
000001_013,四谷駅,,35.685585,139.731687,000001_013,0
000001_014,麹町五丁目,,35.684449,139.734228,000001_014,0
000001_015,麹町四丁目,,35.684026,139.736917,000001_015,0
000001_016,いきいきプラザ一番町,,35.687104,139.739394,000001_016,0
000001_017,五味坂,,35.68862,139.742334,000001_017,0
000001_018,東京家政学院前,,35.691608,139.742042,000001_018,0
000001_019,都営四番町アパート,,35.689858,139.736828,000001_019,0
000001_020,市ヶ谷駅,,35.69135,139.736734,000001_020,0
000001_021,一口坂,,35.692491,139.740551,000001_021,0
000001_022,東京逓信病院,,35.697071,139.742123,000001_022,0
000001_023,地下鉄飯田橋駅東口,,35.701897,139.746213,000001_023,0
000001_024,飯田橋清掃車庫,,35.701703,139.748637,000001_024,0
000001_025,東京しごとセンター,,35.699886,139.750623,000001_025,0
000001_026,九段北一丁目,,35.697586,139.75067,000001_026,0
000002_003,千代田保健所,,35.696042,139.752283,000002_003,0
000002_004,西神田三丁目,,35.69786,139.753183,000002_004,0
000002_005,専修大学法科大学院前,,35.696794,139.754978,000002_005,0
000002_006,専大前交差点,,35.69464,139.75591,000002_006,0
000002_007,神田錦町三丁目,,35.692857,139.762107,000002_007,0
000002_009,神田公園出張所,,35.692423,139.768259,000002_009,0
000002_010,東日本銀行神田支店,,35.693686,139.772935,000002_010,0
000002_011,岩本町ほほえみプラザ,,35.694181,139.777766,000002_011,0
000002_012,美倉橋南,,35.696157,139.779926,000002_012,0
000002_013,和泉公園入口前,,35.698653,139.779078,000002_013,0
000002_014,和泉橋出張所,,35.697427,139.774907,000002_014,0
000002_015,秋葉原駅中央口,,35.698638,139.773905,000002_015,0
000002_016,神田練塀町,,35.70111,139.774359,000002_016,0
000002_017,アーツ千代田3331,,35.704001,139.771727,000002_017,0
000002_018,外神田六丁目,,35.704414,139.769904,000002_018,0
000002_019,昌平童夢館入口,,35.701587,139.769388,000002_019,0
000002_020,外神田二丁目,,35.69929,139.767623,000002_020,0
000002_021,御茶ノ水駅,,35.700364,139.764325,000002_021,0
000002_022,神田駿河台二丁目,,35.700693,139.760698,000002_022,0
000002_023,障害者福祉センター「えみふる」,,35.700517,139.760898,000002_023,0
000002_024,日大病院,,35.697275,139.762089,000002_024,0
000002_025,九段下,,35.695417,139.752405,000002_025,0
000003_005,西神田コスモス館,,35.698708,139.755066,000003_005,0
000003_006,神保町交差点北,,35.697049,139.757749,000003_006,0
000003_007,駿河台下,,35.696329,139.76146,000003_007,0
000003_011,小川町交差点,,35.694967,139.766053,000003_011,0
000003_012,かんだ連雀,,35.696587,139.768502,000003_012,0
000003_013,万世橋出張所,,35.697976,139.770262,000003_013,0
000003_014,ワテラス前,,35.697392,139.768282,000003_014,0
000003_018,岩本町一丁目,,35.692791,139.777692,000003_018,0
000003_019,鍛冶町一丁目,,35.69114,139.773131,000003_019,0
000003_020,スポーツセンター,,35.689396,139.76754,000003_020,0
000003_021,区営内神田住宅,,35.689616,139.765849,000003_021,0
000003_022,ちよだプラットホームスクエア入口,,35.692325,139.760901,000003_022,0
000003_023,神田錦町,,35.693314,139.76099,000003_023,0
000003_024,神保町交番前,,35.694811,139.758191,000003_024,0
000004_003,富士見出張所,,35.699459,139.74639,000004_003,0
000004_004,飯田橋駅前,,35.701553,139.746004,000004_004,0
000004_006,一口坂手前,,35.693221,139.740627,000004_006,0
000004_008,番町,,35.687531,139.736195,000004_008,0
000004_011,さくら館前,,35.692675,139.743731,000004_011,0
000004_012,富士見あんず館,,35.696135,139.745232,000004_012,0
000004_020,御茶ノ水駅前,,35.699997,139.763409,000004_020,0
000004_021,水道橋駅前,,35.701203,139.755581,000004_021,0
000004_022,西神田一丁目,,35.699333,139.756453,000004_022,0
000005_014,麹町二丁目,,35.684263,139.739927,000005_014,0
000006_002,毎日新聞,,35.690651,139.757841,000006_002,0
000006_004,神田美士代町,,35.692438,139.765679,000006_004,0
000006_006,須田町,,35.694975,139.77025,000006_006,0
000006_009,須田町,,35.696315,139.770795,000006_009,0
000006_010,神田駅前,,35.693883,139.77092,000006_010,0
000006_011,新日本橋駅,,35.688232,139.773242,000006_011,0
000006_012,本石町四丁目,,35.688414,139.771508,000006_012,0
